feature_name	class	n_features_in_class	n_bins	mutual_information_bits	class_cost_ns	class_share_cost_ns	ig_per_class_ns	rank_overall	rank_in_class
bigram_n_g	bigram	100	2	0.040077	252.39	2.52	2.298492e-2	114	58
bigram_x20_x20	bigram	100	2	0.001370	252.39	2.52	2.298492e-2	261	100
bigram_x20_8	bigram	100	2	0.017741	252.39	2.52	2.298492e-2	153	81
bigram_i_s	bigram	100	2	0.064442	252.39	2.52	2.298492e-2	71	28
bigram_x20_7	bigram	100	2	0.015268	252.39	2.52	2.298492e-2	161	87
bigram_i_e	bigram	100	2	0.033493	252.39	2.52	2.298492e-2	119	60
bigram_n_d	bigram	100	2	0.009899	252.39	2.52	2.298492e-2	184	96
bigram_E_x20	bigram	100	2	0.007858	252.39	2.52	2.298492e-2	198	98
bigram_R_o	bigram	100	2	0.052258	252.39	2.52	2.298492e-2	85	38
bigram_i_a	bigram	100	2	0.177657	252.39	2.52	2.298492e-2	29	6
bigram_g_e	bigram	100	2	0.049168	252.39	2.52	2.298492e-2	90	40
bigram_1_2	bigram	100	2	0.010199	252.39	2.52	2.298492e-2	183	95
bigram_0_1	bigram	100	2	0.044534	252.39	2.52	2.298492e-2	100	47
bigram_2_0	bigram	100	2	0.020181	252.39	2.52	2.298492e-2	144	76
bigram_h_e	bigram	100	2	0.020289	252.39	2.52	2.298492e-2	143	75
bigram_x20_9	bigram	100	2	0.017130	252.39	2.52	2.298492e-2	155	83
bigram_r_o	bigram	100	2	0.013448	252.39	2.52	2.298492e-2	167	91
bigram_o_u	bigram	100	2	0.057292	252.39	2.52	2.298492e-2	77	32
bigram_r_g	bigram	100	2	0.045913	252.39	2.52	2.298492e-2	97	44
bigram_1_x2c	bigram	100	2	0.008639	252.39	2.52	2.298492e-2	190	97
bigram_4_0	bigram	100	2	0.040141	252.39	2.52	2.298492e-2	113	57
bigram_n_a	bigram	100	2	0.040036	252.39	2.52	2.298492e-2	115	59
bigram_h_a	bigram	100	2	0.033159	252.39	2.52	2.298492e-2	120	61
bigram_o_a	bigram	100	2	0.124890	252.39	2.52	2.298492e-2	43	13
bigram_b_a	bigram	100	2	0.085318	252.39	2.52	2.298492e-2	52	18
bigram_r_t	bigram	100	2	0.010346	252.39	2.52	2.298492e-2	182	94
bigram_a_a	bigram	100	2	0.173606	252.39	2.52	2.298492e-2	31	8
bigram_x20_G	bigram	100	2	0.013818	252.39	2.52	2.298492e-2	166	90
bigram_a_m	bigram	100	2	0.023467	252.39	2.52	2.298492e-2	136	71
bigram_l_x20	bigram	100	2	0.014465	252.39	2.52	2.298492e-2	164	89
bigram_xc3_x9f	bigram	100	2	0.184882	252.39	2.52	2.298492e-2	27	4
bigram_a_xc3	bigram	100	2	0.164797	252.39	2.52	2.298492e-2	32	9
bigram_1_x20	bigram	100	2	0.022965	252.39	2.52	2.298492e-2	139	73
bigram_e_i	bigram	100	2	0.029533	252.39	2.52	2.298492e-2	123	64
